rounds,condition,investment,investment x 3,% returned,amount returned,PPT round profit,RA round profit,PPT block total profit,RA block total profit,date,time,P_id,RA_id
1,2,10,30,0.489,15,15,15,15,15,02/19/2020,10:03:56 PM,1,1
2,2,10,30,0.521,16,16,14,31,29,02/19/2020,10:03:56 PM,1,1
3,2,10,30,0.467,14,14,16,45,45,02/19/2020,10:03:56 PM,1,1
4,2,10,30,0.481,14,14,16,59,61,02/19/2020,10:03:56 PM,1,1
5,2,10,30,0.466,14,14,16,73,77,02/19/2020,10:03:56 PM,1,1
6,2,5,15,0.429,6,11,9,84,86,02/19/2020,10:03:56 PM,1,1
7,2,0,0,0,0,10,0,94,86,02/19/2020,10:03:56 PM,1,1
8,2,0,0,0,0,10,0,104,86,02/19/2020,10:03:56 PM,1,1
9,2,0,0,0,0,10,0,114,86,02/19/2020,10:03:56 PM,1,1
10,2,0,0,0,0,10,0,124,86,02/19/2020,10:03:56 PM,1,1
11,2,0,0,0,0,10,0,10,0,02/19/2020,10:03:56 PM,1,1
12,2,0,0,0,0,10,0,20,0,02/19/2020,10:03:56 PM,1,1
13,2,0,0,0,0,10,0,30,0,02/19/2020,10:03:56 PM,1,1
14,2,0,0,0,0,10,0,40,0,02/19/2020,10:03:56 PM,1,1
15,2,0,0,0,0,10,0,50,0,02/19/2020,10:03:56 PM,1,1
16,2,0,0,0,0,10,0,60,0,02/19/2020,10:03:56 PM,1,1
17,2,0,0,0,0,10,0,70,0,02/19/2020,10:03:56 PM,1,1
18,2,0,0,0,0,10,0,80,0,02/19/2020,10:03:56 PM,1,1
19,2,0,0,0,0,10,0,90,0,02/19/2020,10:03:56 PM,1,1
20,2,0,0,0,0,10,0,100,0,02/19/2020,10:03:56 PM,1,1
21,2,0,0,0,0,10,0,10,0,02/19/2020,10:03:56 PM,1,1
22,2,0,0,0,0,10,0,20,0,02/19/2020,10:03:56 PM,1,1
23,2,0,0,0,0,10,0,30,0,02/19/2020,10:03:56 PM,1,1
24,2,0,0,0,0,10,0,40,0,02/19/2020,10:03:56 PM,1,1
25,2,0,0,0,0,10,0,50,0,02/19/2020,10:03:56 PM,1,1
26,2,0,0,0,0,10,0,60,0,02/19/2020,10:03:56 PM,1,1
27,2,0,0,0,0,10,0,70,0,02/19/2020,10:03:56 PM,1,1
28,2,0,0,0,0,10,0,80,0,02/19/2020,10:03:56 PM,1,1
29,2,0,0,0,0,10,0,90,0,02/19/2020,10:03:56 PM,1,1
30,2,0,0,0,0,10,0,100,0,02/19/2020,10:03:56 PM,1,1
31,2,0,0,0,0,10,0,10,0,02/19/2020,10:03:56 PM,1,1
32,2,0,0,0,0,10,0,20,0,02/19/2020,10:03:56 PM,1,1
33,2,0,0,0,0,10,0,30,0,02/19/2020,10:03:56 PM,1,1
34,2,0,0,0,0,10,0,40,0,02/19/2020,10:03:56 PM,1,1
35,2,0,0,0,0,10,0,50,0,02/19/2020,10:03:56 PM,1,1
36,2,0,0,0,0,10,0,60,0,02/19/2020,10:03:56 PM,1,1
37,2,0,0,0,0,10,0,70,0,02/19/2020,10:03:56 PM,1,1
38,2,0,0,0,0,10,0,80,0,02/19/2020,10:03:56 PM,1,1
39,2,0,0,0,0,10,0,90,0,02/19/2020,10:03:56 PM,1,1
40,2,0,0,0,0,10,0,100,0,02/19/2020,10:03:56 PM,1,1
