participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.invest,player.reciprocate,player.payoff_RA,player.payoff_ppt,player.participant_number,player.block_profits,player.total_profits,player.condition_number,player.payoff,group.id_in_subsession,group.invest,group.reciprocate,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,i2p0usnr,,0,1,336,trust,PrepPage,2020-02-06 06:11:29.479758+00:00,1,,,0.00,1,,,,,,0.00,0.00,1,0.00,1,,,1,ncra3wm0,,,,,,1
2,kdg33x2a,,0,1,336,trust,PrepPage,2020-02-06 06:11:29.491091+00:00,1,,,0.00,2,,,,,,0.00,0.00,1,0.00,1,,,1,ncra3wm0,,,,,,1
1,i2p0usnr,,0,1,336,trust,PrepPage,2020-02-06 06:11:29.479758+00:00,1,,,0.00,1,,,,,,0.00,0.00,1,0.00,1,,,2,ncra3wm0,,,,,,1
2,kdg33x2a,,0,1,336,trust,PrepPage,2020-02-06 06:11:29.491091+00:00,1,,,0.00,2,,,,,,0.00,0.00,1,0.00,1,,,2,ncra3wm0,,,,,,1
1,i2p0usnr,,0,1,336,trust,PrepPage,2020-02-06 06:11:29.479758+00:00,1,,,0.00,1,,,,,,0.00,0.00,1,0.00,1,,,3,ncra3wm0,,,,,,1
2,kdg33x2a,,0,1,336,trust,PrepPage,2020-02-06 06:11:29.491091+00:00,1,,,0.00,2,,,,,,0.00,0.00,1,0.00,1,,,3,ncra3wm0,,,,,,1
1,i2p0usnr,,0,1,336,trust,PrepPage,2020-02-06 06:11:29.479758+00:00,1,,,0.00,1,,,,,,0.00,0.00,1,0.00,1,,,4,ncra3wm0,,,,,,1
2,kdg33x2a,,0,1,336,trust,PrepPage,2020-02-06 06:11:29.491091+00:00,1,,,0.00,2,,,,,,0.00,0.00,1,0.00,1,,,4,ncra3wm0,,,,,,1
1,i2p0usnr,,0,1,336,trust,PrepPage,2020-02-06 06:11:29.479758+00:00,1,,,0.00,1,,,,,,0.00,0.00,1,0.00,1,,,5,ncra3wm0,,,,,,1
2,kdg33x2a,,0,1,336,trust,PrepPage,2020-02-06 06:11:29.491091+00:00,1,,,0.00,2,,,,,,0.00,0.00,1,0.00,1,,,5,ncra3wm0,,,,,,1
1,i2p0usnr,,0,1,336,trust,PrepPage,2020-02-06 06:11:29.479758+00:00,1,,,0.00,1,,,,,,0.00,0.00,1,0.00,1,,,6,ncra3wm0,,,,,,1
2,kdg33x2a,,0,1,336,trust,PrepPage,2020-02-06 06:11:29.491091+00:00,1,,,0.00,2,,,,,,0.00,0.00,1,0.00,1,,,6,ncra3wm0,,,,,,1
1,i2p0usnr,,0,1,336,trust,PrepPage,2020-02-06 06:11:29.479758+00:00,1,,,0.00,1,,,,,,0.00,0.00,1,0.00,1,,,7,ncra3wm0,,,,,,1
2,kdg33x2a,,0,1,336,trust,PrepPage,2020-02-06 06:11:29.491091+00:00,1,,,0.00,2,,,,,,0.00,0.00,1,0.00,1,,,7,ncra3wm0,,,,,,1
1,i2p0usnr,,0,1,336,trust,PrepPage,2020-02-06 06:11:29.479758+00:00,1,,,0.00,1,,,,,,0.00,0.00,1,0.00,1,,,8,ncra3wm0,,,,,,1
2,kdg33x2a,,0,1,336,trust,PrepPage,2020-02-06 06:11:29.491091+00:00,1,,,0.00,2,,,,,,0.00,0.00,1,0.00,1,,,8,ncra3wm0,,,,,,1
1,i2p0usnr,,0,1,336,trust,PrepPage,2020-02-06 06:11:29.479758+00:00,1,,,0.00,1,,,,,,0.00,0.00,1,0.00,1,,,9,ncra3wm0,,,,,,1
2,kdg33x2a,,0,1,336,trust,PrepPage,2020-02-06 06:11:29.491091+00:00,1,,,0.00,2,,,,,,0.00,0.00,1,0.00,1,,,9,ncra3wm0,,,,,,1
1,i2p0usnr,,0,1,336,trust,PrepPage,2020-02-06 06:11:29.479758+00:00,1,,,0.00,1,,,,,,0.00,0.00,1,0.00,1,,,10,ncra3wm0,,,,,,1
2,kdg33x2a,,0,1,336,trust,PrepPage,2020-02-06 06:11:29.491091+00:00,1,,,0.00,2,,,,,,0.00,0.00,1,0.00,1,,,10,ncra3wm0,,,,,,1
1,i2p0usnr,,0,1,336,trust,PrepPage,2020-02-06 06:11:29.479758+00:00,1,,,0.00,1,,,,,,0.00,0.00,1,0.00,1,,,11,ncra3wm0,,,,,,1
2,kdg33x2a,,0,1,336,trust,PrepPage,2020-02-06 06:11:29.491091+00:00,1,,,0.00,2,,,,,,0.00,0.00,1,0.00,1,,,11,ncra3wm0,,,,,,1
1,i2p0usnr,,0,1,336,trust,PrepPage,2020-02-06 06:11:29.479758+00:00,1,,,0.00,1,,,,,,0.00,0.00,1,0.00,1,,,12,ncra3wm0,,,,,,1
2,kdg33x2a,,0,1,336,trust,PrepPage,2020-02-06 06:11:29.491091+00:00,1,,,0.00,2,,,,,,0.00,0.00,1,0.00,1,,,12,ncra3wm0,,,,,,1
1,i2p0usnr,,0,1,336,trust,PrepPage,2020-02-06 06:11:29.479758+00:00,1,,,0.00,1,,,,,,0.00,0.00,1,0.00,1,,,13,ncra3wm0,,,,,,1
2,kdg33x2a,,0,1,336,trust,PrepPage,2020-02-06 06:11:29.491091+00:00,1,,,0.00,2,,,,,,0.00,0.00,1,0.00,1,,,13,ncra3wm0,,,,,,1
1,i2p0usnr,,0,1,336,trust,PrepPage,2020-02-06 06:11:29.479758+00:00,1,,,0.00,1,,,,,,0.00,0.00,1,0.00,1,,,14,ncra3wm0,,,,,,1
2,kdg33x2a,,0,1,336,trust,PrepPage,2020-02-06 06:11:29.491091+00:00,1,,,0.00,2,,,,,,0.00,0.00,1,0.00,1,,,14,ncra3wm0,,,,,,1
1,i2p0usnr,,0,1,336,trust,PrepPage,2020-02-06 06:11:29.479758+00:00,1,,,0.00,1,,,,,,0.00,0.00,1,0.00,1,,,15,ncra3wm0,,,,,,1
2,kdg33x2a,,0,1,336,trust,PrepPage,2020-02-06 06:11:29.491091+00:00,1,,,0.00,2,,,,,,0.00,0.00,1,0.00,1,,,15,ncra3wm0,,,,,,1
1,i2p0usnr,,0,1,336,trust,PrepPage,2020-02-06 06:11:29.479758+00:00,1,,,0.00,1,,,,,,0.00,0.00,1,0.00,1,,,16,ncra3wm0,,,,,,1
2,kdg33x2a,,0,1,336,trust,PrepPage,2020-02-06 06:11:29.491091+00:00,1,,,0.00,2,,,,,,0.00,0.00,1,0.00,1,,,16,ncra3wm0,,,,,,1
1,i2p0usnr,,0,1,336,trust,PrepPage,2020-02-06 06:11:29.479758+00:00,1,,,0.00,1,,,,,,0.00,0.00,1,0.00,1,,,17,ncra3wm0,,,,,,1
2,kdg33x2a,,0,1,336,trust,PrepPage,2020-02-06 06:11:29.491091+00:00,1,,,0.00,2,,,,,,0.00,0.00,1,0.00,1,,,17,ncra3wm0,,,,,,1
1,i2p0usnr,,0,1,336,trust,PrepPage,2020-02-06 06:11:29.479758+00:00,1,,,0.00,1,,,,,,0.00,0.00,1,0.00,1,,,18,ncra3wm0,,,,,,1
2,kdg33x2a,,0,1,336,trust,PrepPage,2020-02-06 06:11:29.491091+00:00,1,,,0.00,2,,,,,,0.00,0.00,1,0.00,1,,,18,ncra3wm0,,,,,,1
1,i2p0usnr,,0,1,336,trust,PrepPage,2020-02-06 06:11:29.479758+00:00,1,,,0.00,1,,,,,,0.00,0.00,1,0.00,1,,,19,ncra3wm0,,,,,,1
2,kdg33x2a,,0,1,336,trust,PrepPage,2020-02-06 06:11:29.491091+00:00,1,,,0.00,2,,,,,,0.00,0.00,1,0.00,1,,,19,ncra3wm0,,,,,,1
1,i2p0usnr,,0,1,336,trust,PrepPage,2020-02-06 06:11:29.479758+00:00,1,,,0.00,1,,,,,,0.00,0.00,1,0.00,1,,,20,ncra3wm0,,,,,,1
2,kdg33x2a,,0,1,336,trust,PrepPage,2020-02-06 06:11:29.491091+00:00,1,,,0.00,2,,,,,,0.00,0.00,1,0.00,1,,,20,ncra3wm0,,,,,,1
1,i2p0usnr,,0,1,336,trust,PrepPage,2020-02-06 06:11:29.479758+00:00,1,,,0.00,1,,,,,,0.00,0.00,1,0.00,1,,,21,ncra3wm0,,,,,,1
2,kdg33x2a,,0,1,336,trust,PrepPage,2020-02-06 06:11:29.491091+00:00,1,,,0.00,2,,,,,,0.00,0.00,1,0.00,1,,,21,ncra3wm0,,,,,,1
1,i2p0usnr,,0,1,336,trust,PrepPage,2020-02-06 06:11:29.479758+00:00,1,,,0.00,1,,,,,,0.00,0.00,1,0.00,1,,,22,ncra3wm0,,,,,,1
2,kdg33x2a,,0,1,336,trust,PrepPage,2020-02-06 06:11:29.491091+00:00,1,,,0.00,2,,,,,,0.00,0.00,1,0.00,1,,,22,ncra3wm0,,,,,,1
1,i2p0usnr,,0,1,336,trust,PrepPage,2020-02-06 06:11:29.479758+00:00,1,,,0.00,1,,,,,,0.00,0.00,1,0.00,1,,,23,ncra3wm0,,,,,,1
2,kdg33x2a,,0,1,336,trust,PrepPage,2020-02-06 06:11:29.491091+00:00,1,,,0.00,2,,,,,,0.00,0.00,1,0.00,1,,,23,ncra3wm0,,,,,,1
1,i2p0usnr,,0,1,336,trust,PrepPage,2020-02-06 06:11:29.479758+00:00,1,,,0.00,1,,,,,,0.00,0.00,1,0.00,1,,,24,ncra3wm0,,,,,,1
2,kdg33x2a,,0,1,336,trust,PrepPage,2020-02-06 06:11:29.491091+00:00,1,,,0.00,2,,,,,,0.00,0.00,1,0.00,1,,,24,ncra3wm0,,,,,,1
1,i2p0usnr,,0,1,336,trust,PrepPage,2020-02-06 06:11:29.479758+00:00,1,,,0.00,1,,,,,,0.00,0.00,1,0.00,1,,,25,ncra3wm0,,,,,,1
2,kdg33x2a,,0,1,336,trust,PrepPage,2020-02-06 06:11:29.491091+00:00,1,,,0.00,2,,,,,,0.00,0.00,1,0.00,1,,,25,ncra3wm0,,,,,,1
1,i2p0usnr,,0,1,336,trust,PrepPage,2020-02-06 06:11:29.479758+00:00,1,,,0.00,1,,,,,,0.00,0.00,1,0.00,1,,,26,ncra3wm0,,,,,,1
2,kdg33x2a,,0,1,336,trust,PrepPage,2020-02-06 06:11:29.491091+00:00,1,,,0.00,2,,,,,,0.00,0.00,1,0.00,1,,,26,ncra3wm0,,,,,,1
1,i2p0usnr,,0,1,336,trust,PrepPage,2020-02-06 06:11:29.479758+00:00,1,,,0.00,1,,,,,,0.00,0.00,1,0.00,1,,,27,ncra3wm0,,,,,,1
2,kdg33x2a,,0,1,336,trust,PrepPage,2020-02-06 06:11:29.491091+00:00,1,,,0.00,2,,,,,,0.00,0.00,1,0.00,1,,,27,ncra3wm0,,,,,,1
1,i2p0usnr,,0,1,336,trust,PrepPage,2020-02-06 06:11:29.479758+00:00,1,,,0.00,1,,,,,,0.00,0.00,1,0.00,1,,,28,ncra3wm0,,,,,,1
2,kdg33x2a,,0,1,336,trust,PrepPage,2020-02-06 06:11:29.491091+00:00,1,,,0.00,2,,,,,,0.00,0.00,1,0.00,1,,,28,ncra3wm0,,,,,,1
1,i2p0usnr,,0,1,336,trust,PrepPage,2020-02-06 06:11:29.479758+00:00,1,,,0.00,1,,,,,,0.00,0.00,1,0.00,1,,,29,ncra3wm0,,,,,,1
2,kdg33x2a,,0,1,336,trust,PrepPage,2020-02-06 06:11:29.491091+00:00,1,,,0.00,2,,,,,,0.00,0.00,1,0.00,1,,,29,ncra3wm0,,,,,,1
1,i2p0usnr,,0,1,336,trust,PrepPage,2020-02-06 06:11:29.479758+00:00,1,,,0.00,1,,,,,,0.00,0.00,1,0.00,1,,,30,ncra3wm0,,,,,,1
2,kdg33x2a,,0,1,336,trust,PrepPage,2020-02-06 06:11:29.491091+00:00,1,,,0.00,2,,,,,,0.00,0.00,1,0.00,1,,,30,ncra3wm0,,,,,,1
1,i2p0usnr,,0,1,336,trust,PrepPage,2020-02-06 06:11:29.479758+00:00,1,,,0.00,1,,,,,,0.00,0.00,1,0.00,1,,,31,ncra3wm0,,,,,,1
2,kdg33x2a,,0,1,336,trust,PrepPage,2020-02-06 06:11:29.491091+00:00,1,,,0.00,2,,,,,,0.00,0.00,1,0.00,1,,,31,ncra3wm0,,,,,,1
